,building,date,0,1,2,3,4,5,company
0,Park Square,04-16-22,1,17,12,1.0,,,UDR
1,View 34,04-16-22,4,56,10,9.0,,,UDR
2,345 Harrison,04-16-22,10,22,5,3.0,,,UDR
3,95 Wall,04-16-22,24,4,3,0.0,,,UDR
4,Savoye,04-16-22,0,43,17,,,,UDR
5,100 Pier 4,04-16-22,3,13,4,0.0,,,UDR
6,Leonard Pointe,04-16-22,0,0,0,,,,UDR
7,10 Hanover Square,04-16-22,21,8,0,0.0,,,UDR
8,Currents on the Charles,04-16-22,0,12,8,0.0,,,UDR
9,Legacy Village,04-16-22,10,63,21,0.0,,,UDR
10,Columbus Square,04-16-22,14,21,11,0.0,0.0,,UDR
11,The Domain,04-16-22,0,15,6,,,,UDR
12,Vitruvian West,04-16-22,65,170,118,1.0,,,UDR
13,21 Chelsea,04-16-22,1,11,0,,,0.0,UDR
14,322 On North Board,04-16-22,1,21,14,3.0,,,UDR
15,The Park,04-16-22,4,42,15,0.0,,,UDR
