,date,unitName,sqrFt,price,availableDate,bdr,bthr,flr,features,apt_views,hasSpecial
147,02-06-22,Apartment 1001,808,7298,3/18/2022,2,2,10,"Granite countertops
Stainless steel appliances
Hardwood floors",29,0
148,02-06-22,Apartment 313,670,5210,Now,1,1,3,"Granite countertops
Stainless steel appliances
Hardwood floors",26,0
149,02-06-22,Apartment 514,615,4925,Now,1,1,5,"Granite countertops
Stainless steel appliances
Hardwood floors",31,0
150,02-06-22,Apartment 306,633,5130,2/19/2022,1,1,3,"Granite countertops
Stainless steel appliances
Hardwood floors",14,0
151,02-06-22,Apartment 607,602,5029,2/19/2022,1,1,6,"Granite countertops
Stainless steel appliances
Hardwood floors",14,0
152,02-06-22,Apartment 612,607,5029,2/19/2022,1,1,6,"Granite countertops
Stainless steel appliances
Hardwood floors",9,0
153,02-06-22,Apartment 917,532,5016,2/26/2022,1,1,9,"Granite countertops
Stainless steel appliances
Hardwood floors",15,0
154,02-06-22,Apartment 410,586,5019,3/11/2022,1,1,4,"Granite countertops
Stainless steel appliances
Hardwood floors",9,0
155,02-06-22,Apartment 1008,605,5112,3/19/2022,1,1,10,"Granite countertops
Stainless steel appliances
Hardwood floors",18,0
156,02-06-22,Apartment 718,449,4590,4/2/2022,0,1,7,"Granite countertops
Stainless steel appliances
Hardwood floors",18,0
157,02-06-22,Apartment #01 - 632,437,3219,4/15/2022,0,1,6,"Smart home package
Balcony
Hardwood flooring",39,0
158,02-06-22,Apartment #01 - 507,604,4343,4/2/2022,1,1,5,"Smart home package
Balcony
Washer and dryer",61,0
